study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
PAL0708,1,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,2007-11-11,39.1,18.7,181,3750,MALE
PAL0708,2,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,2007-11-11,39.5,17.4,186,3800,FEMALE
PAL0708,3,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A1,Yes,2007-11-16,40.3,18,195,3250,FEMALE
PAL0708,5,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,2007-11-16,36.7,19.3,193,3450,FEMALE
PAL0708,6,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,2007-11-16,39.3,20.6,190,3650,MALE
PAL0708,7,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,2007-11-15,38.9,17.8,181,3625,FEMALE
PAL0708,8,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A2,No,2007-11-15,39.2,19.6,195,4675,MALE
PAL0708,13,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,2007-11-15,41.1,17.6,182,3200,FEMALE
PAL0708,14,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,2007-11-15,38.6,21.2,191,3800,MALE
PAL0708,15,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,2007-11-16,34.6,21.1,198,4400,MALE
PAL0708,16,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,2007-11-16,36.6,17.8,185,3700,FEMALE
PAL0708,17,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,2007-11-12,38.7,19,195,3450,FEMALE
PAL0708,18,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A2,Yes,2007-11-12,42.5,20.7,197,4500,MALE
PAL0708,19,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,2007-11-16,34.4,18.4,184,3325,FEMALE
PAL0708,20,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A2,Yes,2007-11-16,46,21.5,194,4200,MALE
PAL0708,21,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,2007-11-12,37.8,18.3,174,3400,FEMALE
PAL0708,22,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,Yes,2007-11-12,37.7,18.7,180,3600,MALE
PAL0708,23,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,2007-11-12,35.9,19.2,189,3800,FEMALE
PAL0708,24,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,2007-11-12,38.2,18.1,185,3950,MALE
PAL0708,25,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2007-11-10,38.8,17.2,180,3800,MALE
PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2007-11-10,35.3,18.9,187,3800,FEMALE
PAL0708,27,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,2007-11-12,40.6,18.6,183,3550,MALE
PAL0708,28,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2007-11-12,40.5,17.9,187,3200,FEMALE
PAL0708,29,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,2007-11-10,37.9,18.6,172,3150,FEMALE
PAL0708,30,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,2007-11-10,40.5,18.9,180,3950,MALE
PAL0708,31,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09,39.5,16.7,178,3250,FEMALE
PAL0708,32,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09,37.2,18.1,178,3900,MALE
PAL0708,33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09,39.5,17.8,188,3300,FEMALE
PAL0708,34,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09,40.9,18.9,184,3900,MALE
PAL0708,35,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16,36.4,17,195,3325,FEMALE
PAL0708,36,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16,39.2,21.1,196,4150,MALE
PAL0708,37,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16,38.8,20,190,3950,MALE
PAL0708,38,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16,42.2,18.5,180,3550,FEMALE
PAL0708,39,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,2007-11-13,37.6,19.3,181,3300,FEMALE
PAL0708,40,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,2007-11-13,39.8,19.1,184,4650,MALE
PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16,36.5,18,182,3150,FEMALE
PAL0708,42,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16,40.8,18.4,195,3900,MALE
PAL0708,43,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19,36,18.5,186,3100,FEMALE
PAL0708,44,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19,44.1,19.7,196,4400,MALE
PAL0708,45,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16,37,16.9,185,3000,FEMALE
PAL0708,46,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16,39.6,18.8,190,4600,MALE
PAL0708,47,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13,41.1,19,182,3425,MALE
PAL0708,49,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13,36,17.9,190,3450,FEMALE
PAL0708,50,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,2007-11-13,42.3,21.2,191,4150,MALE
PAL0809,51,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,2008-11-06,39.6,17.7,186,3500,FEMALE
PAL0809,52,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,2008-11-06,40.1,18.9,188,4300,MALE
PAL0809,53,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,2008-11-09,35,17.9,190,3450,FEMALE
PAL0809,54,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,2008-11-09,42,19.5,200,4050,MALE
PAL0809,55,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,2008-11-09,34.5,18.1,187,2900,FEMALE
PAL0809,56,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,2008-11-09,41.4,18.6,191,3700,MALE
PAL0809,57,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,2008-11-15,39,17.5,186,3550,FEMALE
PAL0809,58,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,2008-11-15,40.6,18.8,193,3800,MALE
PAL0809,59,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,2008-11-15,36.5,16.6,181,2850,FEMALE
PAL0809,60,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,2008-11-15,37.6,19.1,194,3750,MALE
PAL0809,61,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,2008-11-13,35.7,16.9,185,3150,FEMALE
PAL0809,62,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,2008-11-13,41.3,21.1,195,4400,MALE
PAL0809,63,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,2008-11-13,37.6,17,185,3600,FEMALE
PAL0809,64,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,2008-11-13,41.1,18.2,192,4050,MALE
PAL0809,65,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,2008-11-13,36.4,17.1,184,2850,FEMALE
PAL0809,66,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,2008-11-13,41.6,18,192,3950,MALE
PAL0809,67,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,2008-11-06,35.5,16.2,195,3350,FEMALE
PAL0809,68,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,2008-11-06,41.1,19.1,188,4100,MALE
PAL0809,69,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,2008-11-11,35.9,16.6,190,3050,FEMALE
PAL0809,70,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,2008-11-11,41.8,19.4,198,4450,MALE
PAL0809,71,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,2008-11-14,33.5,19,190,3600,FEMALE
PAL0809,72,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,2008-11-14,39.7,18.4,190,3900,MALE
PAL0809,73,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,2008-11-11,39.6,17.2,196,3550,FEMALE
PAL0809,74,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,2008-11-11,45.8,18.9,197,4150,MALE
PAL0809,75,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,2008-11-08,35.5,17.5,190,3700,FEMALE
PAL0809,76,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,2008-11-08,42.8,18.5,195,4250,MALE
PAL0809,77,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,2008-11-06,40.9,16.8,191,3700,FEMALE
PAL0809,78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,2008-11-06,37.2,19.4,184,3900,MALE
PAL0809,79,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,2008-11-09,36.2,16.1,187,3550,FEMALE
PAL0809,80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,2008-11-09,42.1,19.1,195,4000,MALE
PAL0809,81,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,2008-11-02,34.6,17.2,189,3200,FEMALE
PAL0809,82,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,2008-11-02,42.9,17.6,196,4700,MALE
PAL0809,83,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,2008-11-07,36.7,18.8,187,3800,FEMALE
PAL0809,84,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,2008-11-07,35.1,19.4,193,4200,MALE
PAL0809,85,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,2008-11-17,37.3,17.8,191,3350,FEMALE
PAL0809,86,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,2008-11-17,41.3,20.3,194,3550,MALE
PAL0809,87,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,2008-11-08,36.3,19.5,190,3800,MALE
PAL0809,88,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,2008-11-08,36.9,18.6,189,3500,FEMALE
PAL0809,89,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,2008-11-08,38.3,19.2,189,3950,MALE
PAL0809,90,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,2008-11-08,38.9,18.8,190,3600,FEMALE
